2213.HK,YI HUA DEPARTMEN,General Retailers
162.HK,CENTURY GINWA RE,General Retailers
1268.HK,CHINA MEIDONG AU,General Retailers
393.HK,GLORIOUS SUN ENT,General Retailers
887.HK,EMPEROR WATCH &,General Retailers
885.HK,FOREFRONT GROUP,General Retailers
589.HK,PORTS DESIGN LTD,General Retailers
1771.HK,SUNFONDA GROUP,General Retailers
2030.HK,CABBEEN FASHION,General Retailers
984.HK,AEON STORES HONG,General Retailers
1678.HK,CHINA CREATIVE H,General Retailers
891.HK,TRINITY LTD,General Retailers
1317.HK,MAPLELEAF EDU,General Retailers
999.HK,I.T LTD,General Retailers
825.HK,NEW WORLD DEPT C,General Retailers
1086.HK,GOODBABY INTERNA,General Retailers
6868.HK,TENFU HLDGS CO,General Retailers
3368.HK,PARKSON RETAIL,General Retailers
1968.HK,PEAK SPORT,General Retailers
342.HK,NEWOCEAN ENERGY,General Retailers
1700.HK,SPRINGLAND,General Retailers
3669.HK,CHINA YONGDA AUT,General Retailers
709.HK,GIORDANO INTL,General Retailers
3636.HK,POLY CULTURE-H,General Retailers
848.HK,MAOYE INTL HLDGS,General Retailers
3389.HK,HENGDELI,General Retailers
1828.HK,DAH CHONG HONG,General Retailers
289.HK,WING ON CO,General Retailers
1448.HK,FU SHOU YUAN INT,General Retailers
3818.HK,CHINA DONGXIANG,General Retailers
1728.HK,CHINA ZHENGTONG,General Retailers
811.HK,XINHUA WINSHAR-H,General Retailers
2098.HK,ZALL DEVELOPMENT,General Retailers
1293.HK,BAOXIN AUTO GROU,General Retailers
178.HK,SA SA INTL HLDGS,General Retailers
116.HK,CHOW SANG SANG,General Retailers
1833.HK,INTIME RETAIL GR,General Retailers
590.HK,LUK FOOK HLDGS I,General Retailers
330.HK,ESPRIT HLDGS,General Retailers
3308.HK,GOLDEN EAGLE RET,General Retailers
493.HK,GOME ELECTRICAL,General Retailers
1212.HK,LIFESTYLE INTL,General Retailers
973.HK,L'OCCITANE INTL,General Retailers
6808.HK,SUN ART RETAIL,General Retailers
1929.HK,CHOW TAI FOOK JE,General Retailers
8216.HK,BAMBOOS HEALTH,Health Care Equipment & Services
1858.HK,BEIJING CHUNLI-H,Health Care Equipment & Services
397.HK,JUNYANG SOLAR,Health Care Equipment & Services
1358.HK,PW MEDTECH GROUP,Health Care Equipment & Services
1515.HK,PHOENIXHEALTH,Health Care Equipment & Services
3886.HK,TOWN HEALTH,Health Care Equipment & Services
1066.HK,SHANDONG WEIG-H,Health Care Equipment & Services
8101.HK,JIA MENG HOLDING,Household Goods & Home Construction
943.HK,EFORCE HLDGS LTD,Household Goods & Home Construction
396.HK,HING LEE HK,Household Goods & Home Construction
8146.HK,MASTERCRAFT INTE,Household Goods & Home Construction
229.HK,RAYMOND INDL,Household Goods & Home Construction
146.HK,TAI PING CARPETS,Household Goods & Home Construction
2023.HK,CHINA LUDAO,Household Goods & Home Construction
114.HK,HERALD HLDG LTD,Household Goods & Home Construction
6822.HK,KING'S FLAIR INT,Household Goods & Home Construction
684.HK,ALLAN INTL.,Household Goods & Home Construction
406.HK,YAU LEE HLDG LTD,Household Goods & Home Construction
235.HK,CHINA STRATEGIC,Household Goods & Home Construction
1373.HK,IH RETAIL,Household Goods & Home Construction
496.HK,KASEN INTL HLDGS,Household Goods & Home Construction
1043.HK,COSLIGHT TECH,Household Goods & Home Construction
526.HK,LISI GROUP HOLDI,Household Goods & Home Construction
477.HK,AUPU GROUP HLDG,Household Goods & Home Construction
8125.HK,KATE CHINA HOLDI,Household Goods & Home Construction
1190.HK,BOLINA HOLDING,Household Goods & Home Construction
531.HK,SAMSON HLDG LTD,Household Goods & Home Construction
925.HK,BEIJING PROPERTI,Household Goods & Home Construction
3331.HK,VINDA INTL HLDGS,Household Goods & Home Construction
1999.HK,MAN WAH HOLDINGS,Household Goods & Home Construction
921.HK,HISENSE KELON -H,Household Goods & Home Construction
1910.HK,SAMSONITE INTL,Household Goods & Home Construction
669.HK,TECHTRONIC IND,Household Goods & Home Construction
1169.HK,HAIER ELECTRONIC,Household Goods & Home Construction
8115.HK,SHANGHAI QINGP-H,Industrial Engineering
387.HK,LEEPORT HOLDINGS,Industrial Engineering
365.HK,SUN EAST TECH,Industrial Engineering
679.HK,ASIA TELE-NET,Industrial Engineering
3628.HK,RENHENG ENTERPRI,Industrial Engineering
929.HK,IPE GROUP LTD,Industrial Engineering
2398.HK,GOOD FRIEND INTL,Industrial Engineering
1673.HK,HUAZHANG TECHNOL,Industrial Engineering
57.HK,CHEN HSONG HLDGS,Industrial Engineering
1322.HK,CW GROUP HOLD,Industrial Engineering
641.HK,CHTC FONG'S,Industrial Engineering
379.HK,PME GROUP LTD,Industrial Engineering
2345.HK,SHANGHAI PRIME-H,Industrial Engineering
319.HK,CHINA METAL INTE,Industrial Engineering
826.HK,TIANGONG INTL CO,Industrial Engineering
838.HK,EVA PRECISION,Industrial Engineering
2722.HK,CHONGQING M&E-H,Industrial Engineering
631.HK,SANY HEAVY EQUIP,Industrial Engineering
2068.HK,CHALIECO-H,Industrial Engineering
698.HK,TONGDA GROUP HLD,Industrial Engineering
1133.HK,HARBIN ELECTRI-H,Industrial Engineering
3339.HK,LONKING,Industrial Engineering
1122.HK,QINGLING MOTOR-H,Industrial Engineering
1893.HK,CHINA NATL MAT-H,Industrial Engineering
38.HK,FIRST TRACTOR-H,Industrial Engineering
3808.HK,SINOTRUK HK LTD,Industrial Engineering
2128.HK,CHINA LESSO,Industrial Engineering
3899.HK,CIMC ENRIC HLDG,Industrial Engineering
1882.HK,HAITIAN INTL,Industrial Engineering
3898.HK,ZHUZHOU CSR-H,Industrial Engineering
2338.HK,WEICHAI POWER-H,Industrial Engineering
505.HK,XINGYE COPPER,Industrial Metals & Mining
